ResourceID,Service,CloudProvider,MonthlyCost,UsageHours,Region
i-0f11a2233b44c55d,Amazon EC2 (m5.4xlarge),AWS,568.00,720,us-east-1
db-postgres-prod-replica,AWS RDS (db.r5.2xlarge),AWS,840.00,720,us-east-1
vol-0123456789abcdef0,EBS Unattached Disk (gp3),AWS,120.00,720,us-east-1
nat-0a1b2c3d4e5f6g7h,AWS NAT Gateway,AWS,215.50,720,us-east-1
eipalloc-01234567,AWS Unused Elastic IP,AWS,7.20,720,us-east-1
vm-analytics-worker-1,Azure Virtual Machines (Standard_D8s_v3),Azure,480.00,720,eastus
synapse-workspace-dev,Azure Synapse Analytics,Azure,1250.00,350,eastus2
stdevanalytics001,Azure Blob Storage (Cool Tier),Azure,85.00,720,westeurope
gke-prod-cluster-node-1,Google Kubernetes Engine (n2-standard-8),GCP,310.00,720,us-central1
gke-prod-cluster-node-2,Google Kubernetes Engine (n2-standard-8),GCP,310.00,720,us-central1
sql-master-db,GCP Cloud SQL (db-custom-8-32768),GCP,520.00,720,us-central1
idle-test-vm-legacy,Amazon EC2 (t3.xlarge),AWS,120.00,720,us-west-2
